trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-83.25270779570236,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-40.57514176837289,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",35,0,-222.8511046270087,"{0: 17, 1: 3, 2: 11, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-197.87431082963457,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-120.16743155145925,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-106.70662165578663,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-82.99125363201281,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-63.07347275099227,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-178.74229954913775,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-100.623584562815,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-138.4585104379549,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-140.85452122052916,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-162.95224942845448,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-82.64634319911364,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-69.5462820745871,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-179.16335430454453,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-88.75347330592957,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,10,-58.926898829094654,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-211.2787356752147,"{0: 12, 1: 1, 2: 6, 3: 4, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-66.69341256786326,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,7,-63.59149551424082,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-144.00493540192434,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,8,-1.7872603579202324,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-122.14666829536323,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-68.01052650428367,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-246.86051981251364,"{0: 12, 1: 7, 2: 7, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-76.69694234489614,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-126.37023085153515,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",35,6,-222.07734263099564,"{0: 15, 1: 1, 2: 8, 3: 2, 4: 3}",1
10,True,"{'a': 0, 'e': 0}",20,0,-74.72917646214151,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
