trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-214.1242481546762,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-211.8692788607865,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-144.75999357312983,"{0: 14, 1: 3, 2: 12, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-52.73634262132379,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-85.54149866041703,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-173.03465173840527,"{0: 21, 1: 0, 2: 11, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-33.17356006692239,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-109.40862949093186,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-52.041013041946194,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-91.51851574579779,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-85.81632120294712,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,20,-27.685220249483972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-145.83121832261492,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-180.06144716999574,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-38.11145872003666,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-43.19192083440461,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-171.06068230255025,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,-14.852321091708866,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,14.95131900689081,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-38.15412702972175,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,4,-77.36213505457503,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,5,-92.0858767839789,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",25,0,-79.49071763309246,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,8.937583629601122,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-65.22204608956463,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,3,26.54813278781279,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,4,-63.62839536304143,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,19,-4.503236765269357,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,0,-91.07120968339717,"{0: 28, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-58.24630910894103,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
