trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.986}",25,0,-131.05072124246263,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.972196}",25,0,-89.89603760696968,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.958585256}",20,0,-132.69952643386208,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.945165062416}",20,0,-6.182892366872567,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9319327515421759}",30,0,-152.7890696268338,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.9188856930205854}",20,0,-60.711848737346294,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9060212933182973}",20,0,-79.37455062399782,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.8933369952118411}",20,0,-56.209833534362815,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.8808302772788753}",25,12,-16.90341185869336,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.8684986533969711}",20,0,-120.98687092914872,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.8563396722494134}",25,0,-57.445758179344466,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.8443509168379216}",20,0,-72.7358121792171,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.8325300040021907}",20,0,-118.21964526771583,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.8208745839461601}",25,0,-116.82112891529337,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.8093823397709138}",20,0,-31.833415423384736,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.798050987014121}",20,6,-20.217989044488142,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.7868782731959233}",20,4,-54.20625699553003,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.7758619773711803}",25,0,-105.81247325059317,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.7649999096879838}",20,0,-192.7127028449425,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.754289910952352}",30,0,-144.58267585825513,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.7437298521990191}",20,13,-0.04548515617838622,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.7333176342682328}",20,0,-72.0519700435959,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.7230511873884775}",30,0,-134.10425160745518,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.7129284707650388}",20,0,-137.6371488806489,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.7029474721743283}",20,0,-66.88723961509027,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.6931062075638877}",20,0,-141.56223933962062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
27,False,"{'a': 0.1, 'e': 0.6834027206579932}",20,16,8.409412614665502,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.6738350825687813}",25,10,-73.99157514704937,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.6644013914128184}",30,8,-61.77595177177105,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.6550997719330389}",20,0,5.7688216529737515,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.6459283751259763}",20,0,-121.34459175989464,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
